CIRCUIT_NAME,ICAWOF_UNILOAD,ICAWOF_UNIGENERATION,ICAWOF_PVGENERATION
59,2.0,0.0,0.2
59,2.0,0.0,0.2
59,2.0,0.0,0.2
59,2.0,0.0,0.2
59,2.0,0.0,0.2
59,2.0,0.0,0.2
114,2.2,0.6,2.3000000000000003
114,2.2,0.6,2.3000000000000003
114,2.2,0.6,2.3000000000000003
114,2.2,0.6,2.3000000000000003
114,2.2,0.6,2.3000000000000003
114,2.2,0.6,2.3000000000000003
114,2.2,0.6,2.3000000000000003
114,1.5,0.6,1.8
492,1.3,0.0,0.2
492,1.3,0.0,0.2
205,0.3,3.2,4.5
205,0.3,3.2,4.5
205,0.3,3.2,4.5
364,0.0,0.1,0.1
364,0.0,0.1,0.1
364,0.0,0.1,0.1
364,0.0,0.1,0.1
205,0.4,3.2,4.8
205,0.4,3.2,4.8
205,0.4,3.2,4.8
60,1.1,0.0,0.0
60,1.1,0.0,0.0
60,1.1,0.0,0.0
60,1.1,0.0,0.0
60,1.1,0.0,0.0
368,0.2,2.7,3.2
205,0.3,3.0,3.0
205,0.3,3.0,3.0
205,0.3,3.0,3.0
205,0.3,3.0,3.0
205,0.3,3.0,3.0
205,0.3,3.0,3.0
205,0.3,3.0,3.0
205,0.3,3.2,3.7
205,0.3,3.2,3.7
205,0.3,3.2,3.7
205,0.3,3.2,3.7
205,0.3,3.2,3.6
205,0.3,3.2,3.6
205,0.3,3.2,3.6
205,0.3,3.2,3.6
205,0.3,2.6,2.6
205,0.3,3.0,3.0
205,0.3,3.0,3.0
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,2.1,2.1
205,0.3,3.2,3.6
205,0.3,3.2,3.6
205,0.3,3.2,3.4
205,0.3,3.2,3.4
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,3.2,3.4
205,0.3,3.2,3.6
205,0.3,3.2,3.6
205,0.3,3.2,3.6
462,0.8,0.0,0.1
462,0.8,0.0,0.1
462,0.8,0.0,0.1
462,0.8,0.0,0.1
462,0.8,0.0,0.1
205,0.3,3.2,3.3000000000000003
205,0.3,3.2,3.3000000000000003
205,0.3,3.2,3.3000000000000003
205,0.3,3.2,3.3000000000000003
205,0.3,3.2,3.3000000000000003
205,0.3,3.2,3.3000000000000003
205,0.3,3.2,3.3000000000000003
205,0.3,3.2,3.3000000000000003
205,0.3,2.7,2.7
205,0.3,2.7,2.7
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,3.2,4.8
205,0.3,3.2,4.8
205,0.3,3.2,4.8
205,0.3,3.2,4.8
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
364,0.0,0.1,0.1
364,0.0,0.1,0.1
364,0.0,0.1,0.1
364,0.0,0.1,0.1
364,0.0,0.1,0.1
364,0.0,0.1,0.1
205,0.3,2.3000000000000003,2.3000000000000003
205,0.3,2.3000000000000003,2.3000000000000003
205,0.3,2.3000000000000003,2.3000000000000003
205,0.3,2.3000000000000003,2.3000000000000003
205,0.3,2.2,2.2
205,0.3,2.2,2.2
205,0.3,2.2,2.2
198,1.1,0.0,0.0
198,1.1,0.0,0.0
198,1.1,0.0,0.0
198,1.1,0.0,0.0
198,1.1,0.0,0.0
198,1.1,0.0,0.0
198,1.1,0.0,0.0
69,1.3,0.0,0.1
69,1.3,0.0,0.1
69,1.3,0.0,0.1
69,1.3,0.0,0.1
462,2.5,0.0,0.1
462,2.5,0.0,0.1
462,2.5,0.0,0.1
462,2.5,0.0,0.1
462,2.5,0.0,0.1
462,2.5,0.0,0.1
462,2.5,0.0,0.1
64,1.9000000000000001,0.0,0.2
64,1.9000000000000001,0.0,0.2
64,1.9000000000000001,0.0,0.2
64,1.9000000000000001,0.0,0.2
64,1.9000000000000001,0.0,0.2
64,1.9000000000000001,0.0,0.2
120,2.0,0.0,0.1
120,2.0,0.0,0.1
120,2.0,0.0,0.1
120,2.0,0.0,0.1
460,2.5,0.0,0.2
460,2.5,0.0,0.2
59,1.9000000000000001,0.0,0.2
59,2.0,0.0,0.2
462,0.8,0.0,0.1
59,1.9000000000000001,0.0,0.2
59,1.9000000000000001,0.0,0.2
59,1.9000000000000001,0.0,0.2
59,1.9000000000000001,0.0,0.2
59,1.9000000000000001,0.0,0.2
59,2.0,0.0,0.2
59,2.0,0.0,0.2
59,2.0,0.0,0.2
59,2.0,0.0,0.2
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,2.1,0.5,2.2
116,2.1,0.5,2.2
116,2.1,0.5,2.2
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.5,2.2
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,1.7,0.0,0.1
116,1.5,0.5,2.1
116,1.5,0.5,2.1
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.9000000000000001,0.5,2.2
116,1.9000000000000001,0.5,2.2
116,1.9000000000000001,0.5,2.2
116,1.9000000000000001,0.5,2.2
116,1.9000000000000001,0.5,2.2
116,1.9000000000000001,0.5,2.2
116,1.9000000000000001,0.5,2.2
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.8,0.5,2.2
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.7,0.5,2.2
116,1.7,0.5,2.2
116,1.7,0.5,2.2
116,1.7,0.5,2.2
116,1.5,0.5,2.0
116,1.5,0.5,2.0
116,1.5,0.5,2.0
116,1.3,0.5,1.6
116,1.3,0.5,1.6
116,1.3,0.5,1.6
116,1.3,0.5,1.6
116,1.3,0.5,1.6
116,1.3,0.5,1.6
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.4000000000000001,0.5,1.6
116,1.4000000000000001,0.5,1.6
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.6,0.5,2.2
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.5,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.6,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
116,1.8,0.0,0.1
